feature,feature_type,importance_mean_mae_increase,importance_std
device,categorical,6.021425526464142,0.06955079921048801
dataset,categorical,2.4706506919840505,0.03547322153468077
op_count_nor_conv_3x3,numeric,1.728071735176402,0.037864062565599134
op_count_none,numeric,1.0820401007504679,0.011667447729893326
op_count_skip_connect,numeric,0.6716286745125648,0.0179955674790928
num_classes,numeric,0.459572475763105,0.011102705436707662
op_count_avg_pool_3x3,numeric,0.29055976686567114,0.0025379405536076847
op_count_nor_conv_1x1,numeric,0.2789463171665628,0.007501020212463865
base_channels,numeric,0.0,0.0
num_cells,numeric,0.0,0.0
